camera_uid,kf_id,init,candidate_count,admitted_count,dropped_count,gaussian_before,gaussian_after_extend,admission_cpu_ms,cuda_allocated_mib,cuda_reserved_mib,mode,reason
0,0,True,7055,7055,0,0,7055,0.230688,24.905,62.0,observe,observe_passthrough
1,1,False,769,769,0,7055,7824,0.210695,24.629,62.0,observe,observe_passthrough
2,2,False,821,821,0,7824,8645,0.198012,24.692,62.0,observe,observe_passthrough
3,3,False,890,890,0,8645,9535,0.343968,24.762,62.0,observe,observe_passthrough
4,4,False,925,925,0,9535,10460,0.180514,24.835,62.0,observe,observe_passthrough
5,5,False,939,939,0,10460,11399,0.205204,24.911,62.0,observe,observe_passthrough
6,6,False,918,918,0,11399,12317,0.228525,24.978,62.0,observe,observe_passthrough
7,7,False,857,857,0,12317,13174,0.206938,25.038,62.0,observe,observe_passthrough
8,8,False,879,879,0,13174,14053,0.227501,25.106,62.0,observe,observe_passthrough
9,9,False,874,874,0,14053,14927,0.371974,25.173,62.0,observe,observe_passthrough
10,10,False,925,925,0,10979,11904,0.244302,35.74,466.0,observe,observe_passthrough
11,11,False,903,903,0,11904,12807,0.210585,35.914,466.0,observe,observe_passthrough
12,12,False,896,896,0,12807,13703,0.205736,36.076,466.0,observe,observe_passthrough
13,13,False,893,893,0,13703,14596,0.194487,36.24,466.0,observe,observe_passthrough
14,14,False,959,959,0,14596,15555,0.232361,36.416,466.0,observe,observe_passthrough
15,15,False,995,995,0,15555,16550,0.209262,36.6,466.0,observe,observe_passthrough
16,16,False,877,877,0,19216,20093,0.235307,54.688,748.0,observe,observe_passthrough
17,17,False,768,768,0,20093,20861,0.19603,54.822,748.0,observe,observe_passthrough
18,18,False,772,772,0,20861,21633,0.216364,54.976,748.0,observe,observe_passthrough
19,19,False,803,803,0,21633,22436,0.215003,55.118,748.0,observe,observe_passthrough
20,20,False,824,824,0,22436,23260,0.263695,55.271,748.0,observe,observe_passthrough
21,21,False,755,755,0,23260,24015,0.227633,55.402,748.0,observe,observe_passthrough
22,22,False,615,615,0,24015,24630,0.201059,55.511,748.0,observe,observe_passthrough
23,23,False,797,797,0,24630,25427,0.49265,55.663,748.0,observe,observe_passthrough
24,24,False,789,789,0,25427,26216,0.165719,55.809,748.0,observe,observe_passthrough
25,25,False,774,774,0,26216,26990,0.1956,55.95,748.0,observe,observe_passthrough
26,26,False,914,914,0,26990,27904,0.238131,56.121,748.0,observe,observe_passthrough
27,27,False,917,917,0,27455,28372,0.220603,78.422,1340.0,observe,observe_passthrough
28,28,False,880,880,0,28372,29252,0.185915,78.584,1340.0,observe,observe_passthrough
29,29,False,827,827,0,29252,30079,0.208664,78.728,1340.0,observe,observe_passthrough
30,30,False,904,904,0,30079,30983,0.194299,78.907,1340.0,observe,observe_passthrough
31,31,False,954,954,0,30983,31937,0.251957,79.081,1340.0,observe,observe_passthrough
32,32,False,1019,1019,0,31937,32956,0.209173,79.269,1340.0,observe,observe_passthrough
33,33,False,1025,1025,0,32956,33981,0.204066,79.459,1340.0,observe,observe_passthrough
34,34,False,949,949,0,33981,34930,0.513969,79.625,1340.0,observe,observe_passthrough
35,35,False,884,884,0,34930,35814,0.190732,79.785,1340.0,observe,observe_passthrough
36,36,False,874,874,0,35814,36688,0.246126,79.943,1340.0,observe,observe_passthrough
37,37,False,929,929,0,36688,37617,0.202212,80.116,1340.0,observe,observe_passthrough
38,38,False,941,941,0,37617,38558,0.199386,80.292,1340.0,observe,observe_passthrough
39,39,False,922,922,0,38558,39480,0.196192,80.46,1340.0,observe,observe_passthrough
40,40,False,822,822,0,39480,40302,0.198986,80.603,1340.0,observe,observe_passthrough
41,41,False,792,792,0,42451,43243,0.238134,104.943,2118.0,observe,observe_passthrough
