timestamp,index,memory_used_mib,gpu_util_percent,temperature_c,power_w
2026-07-23T16:38:07+08:00,0, 376, 3, 47, 23.32
2026-07-23T16:38:08+08:00,0, 376, 3, 47, 23.19
2026-07-23T16:38:09+08:00,0, 379, 36, 47, 24.51
2026-07-23T16:38:10+08:00,0, 379, 3, 47, 23.50
2026-07-23T16:38:11+08:00,0, 1796, 1, 51, 82.54
2026-07-23T16:38:12+08:00,0, 1796, 1, 52, 105.23
2026-07-23T16:38:13+08:00,0, 2053, 0, 52, 103.48
2026-07-23T16:38:14+08:00,0, 1794, 0, 52, 103.76
2026-07-23T16:38:15+08:00,0, 1796, 2, 52, 103.78
2026-07-23T16:38:16+08:00,0, 2056, 2, 52, 103.90
2026-07-23T16:38:17+08:00,0, 2070, 2, 52, 104.13
2026-07-23T16:38:18+08:00,0, 2069, 2, 52, 103.61
2026-07-23T16:38:19+08:00,0, 2326, 1, 52, 103.92
2026-07-23T16:38:20+08:00,0, 2320, 4, 52, 103.86
2026-07-23T16:38:21+08:00,0, 2320, 5, 52, 103.90
2026-07-23T16:38:22+08:00,0, 2574, 1, 52, 105.00
2026-07-23T16:38:23+08:00,0, 2317, 0, 52, 104.26
2026-07-23T16:38:24+08:00,0, 2574, 1, 52, 103.77
2026-07-23T16:38:25+08:00,0, 2315, 4, 52, 103.80
2026-07-23T16:38:26+08:00,0, 2315, 0, 51, 103.57
2026-07-23T16:38:27+08:00,0, 2572, 2, 51, 103.65
2026-07-23T16:38:28+08:00,0, 2572, 0, 51, 103.58
2026-07-23T16:38:29+08:00,0, 2571, 0, 51, 103.54
2026-07-23T16:38:30+08:00,0, 2960, 20, 52, 107.06
2026-07-23T16:38:32+08:00,0, 3508, 44, 55, 173.45
2026-07-23T16:38:33+08:00,0, 3784, 25, 58, 203.16
2026-07-23T16:38:34+08:00,0, 3708, 22, 58, 195.50
2026-07-23T16:38:35+08:00,0, 4640, 33, 57, 199.84
2026-07-23T16:38:36+08:00,0, 4422, 48, 58, 193.94
2026-07-23T16:38:37+08:00,0, 4314, 56, 58, 212.55
2026-07-23T16:38:38+08:00,0, 4672, 66, 58, 219.02
2026-07-23T16:38:39+08:00,0, 4334, 65, 59, 222.11
2026-07-23T16:38:40+08:00,0, 4324, 48, 57, 210.98
2026-07-23T16:38:41+08:00,0, 4322, 48, 58, 191.43
2026-07-23T16:38:42+08:00,0, 4828, 40, 58, 197.13
2026-07-23T16:38:43+08:00,0, 4896, 73, 60, 226.22
2026-07-23T16:38:44+08:00,0, 4624, 88, 59, 230.57
2026-07-23T16:38:45+08:00,0, 5236, 96, 61, 233.45
2026-07-23T16:38:46+08:00,0, 5576, 88, 61, 264.74
2026-07-23T16:38:47+08:00,0, 5014, 86, 61, 230.77
2026-07-23T16:38:48+08:00,0, 5216, 98, 62, 260.55
2026-07-23T16:38:49+08:00,0, 4388, 82, 62, 262.19
2026-07-23T16:38:50+08:00,0, 5286, 76, 62, 228.37
2026-07-23T16:38:51+08:00,0, 4370, 97, 61, 233.96
2026-07-23T16:38:52+08:00,0, 5950, 76, 64, 231.82
2026-07-23T16:38:53+08:00,0, 4370, 90, 61, 263.03
2026-07-23T16:38:54+08:00,0, 4370, 52, 61, 212.00
2026-07-23T16:38:55+08:00,0, 5428, 79, 61, 232.36
2026-07-23T16:38:56+08:00,0, 5164, 77, 61, 235.30
2026-07-23T16:38:57+08:00,0, 5392, 98, 62, 236.97
2026-07-23T16:38:58+08:00,0, 6168, 99, 64, 257.95
2026-07-23T16:38:59+08:00,0, 6150, 100, 65, 285.85
2026-07-23T16:39:00+08:00,0, 5736, 93, 64, 265.64
2026-07-23T16:39:01+08:00,0, 5790, 87, 63, 240.10
2026-07-23T16:39:02+08:00,0, 5380, 72, 64, 237.92
2026-07-23T16:39:03+08:00,0, 6644, 93, 65, 243.92
2026-07-23T16:39:04+08:00,0, 5952, 96, 66, 284.76
2026-07-23T16:39:05+08:00,0, 6856, 82, 66, 276.01
2026-07-23T16:39:06+08:00,0, 5714, 63, 63, 256.37
2026-07-23T16:39:07+08:00,0, 5714, 57, 63, 213.93
2026-07-23T16:39:08+08:00,0, 5714, 63, 63, 213.73
2026-07-23T16:39:09+08:00,0, 5714, 59, 63, 214.95
2026-07-23T16:39:10+08:00,0, 5714, 63, 63, 213.67
2026-07-23T16:39:11+08:00,0, 5714, 59, 62, 213.96
2026-07-23T16:39:12+08:00,0, 5116, 65, 61, 215.10
2026-07-23T16:39:13+08:00,0, 6074, 91, 63, 227.68
2026-07-23T16:39:14+08:00,0, 6074, 93, 63, 246.59
2026-07-23T16:39:15+08:00,0, 8038, 93, 67, 273.05
2026-07-23T16:39:16+08:00,0, 7444, 100, 67, 289.03
2026-07-23T16:39:17+08:00,0, 6378, 99, 67, 271.65
2026-07-23T16:39:18+08:00,0, 6464, 94, 66, 245.23
2026-07-23T16:39:19+08:00,0, 6392, 70, 66, 241.84
2026-07-23T16:39:20+08:00,0, 6040, 98, 65, 245.59
2026-07-23T16:39:21+08:00,0, 7692, 94, 68, 283.69
2026-07-23T16:39:22+08:00,0, 8516, 100, 70, 296.38
2026-07-23T16:39:23+08:00,0, 8708, 99, 70, 295.61
2026-07-23T16:39:24+08:00,0, 6076, 67, 67, 249.79
2026-07-23T16:39:25+08:00,0, 6432, 81, 68, 243.45
2026-07-23T16:39:26+08:00,0, 7634, 100, 69, 241.31
2026-07-23T16:39:27+08:00,0, 8408, 100, 70, 301.54
2026-07-23T16:39:28+08:00,0, 6894, 100, 69, 299.20
2026-07-23T16:39:29+08:00,0, 5800, 65, 68, 274.19
2026-07-23T16:39:30+08:00,0, 5800, 60, 67, 222.88
2026-07-23T16:39:31+08:00,0, 5818, 63, 67, 222.54
2026-07-23T16:39:33+08:00,0, 5818, 61, 66, 222.62
2026-07-23T16:39:34+08:00,0, 5818, 65, 67, 223.27
2026-07-23T16:39:35+08:00,0, 5818, 60, 66, 222.26
2026-07-23T16:39:36+08:00,0, 5818, 66, 66, 222.29
2026-07-23T16:39:37+08:00,0, 5818, 61, 67, 222.34
2026-07-23T16:39:38+08:00,0, 5834, 65, 66, 222.32
2026-07-23T16:39:39+08:00,0, 5834, 61, 66, 222.43
2026-07-23T16:39:40+08:00,0, 5834, 65, 65, 222.06
2026-07-23T16:39:41+08:00,0, 6486, 52, 64, 220.20
2026-07-23T16:39:42+08:00,0, 6858, 96, 67, 234.17
2026-07-23T16:39:43+08:00,0, 6316, 85, 67, 250.69
2026-07-23T16:39:44+08:00,0, 6412, 88, 67, 250.84
2026-07-23T16:39:45+08:00,0, 8368, 99, 70, 259.28
2026-07-23T16:39:46+08:00,0, 9044, 97, 71, 303.18
2026-07-23T16:39:47+08:00,0, 9084, 100, 72, 303.55
2026-07-23T16:39:48+08:00,0, 9540, 97, 73, 296.22
2026-07-23T16:39:49+08:00,0, 6446, 77, 70, 281.51
2026-07-23T16:39:50+08:00,0, 6368, 96, 72, 253.76
2026-07-23T16:39:51+08:00,0, 6070, 86, 69, 242.62
2026-07-23T16:39:52+08:00,0, 7829, 99, 73, 257.72
2026-07-23T16:39:53+08:00,0, 7829, 100, 75, 297.68
2026-07-23T16:39:54+08:00,0, 7709, 100, 75, 306.19
2026-07-23T16:39:55+08:00,0, 7697, 100, 76, 308.00
2026-07-23T16:39:56+08:00,0, 5173, 72, 73, 263.28
2026-07-23T16:39:57+08:00,0, 5861, 100, 75, 296.31
2026-07-23T16:39:58+08:00,0, 5953, 100, 75, 298.83
2026-07-23T16:39:59+08:00,0, 5925, 100, 78, 297.01
2026-07-23T16:40:00+08:00,0, 6305, 96, 78, 300.25
2026-07-23T16:40:01+08:00,0, 7211, 98, 81, 304.09
2026-07-23T16:40:02+08:00,0, 5171, 89, 80, 292.73
2026-07-23T16:40:03+08:00,0, 8119, 100, 83, 283.23
2026-07-23T16:40:04+08:00,0, 8117, 100, 85, 295.45
2026-07-23T16:40:05+08:00,0, 5935, 100, 84, 298.29
2026-07-23T16:40:06+08:00,0, 5987, 100, 83, 284.54
2026-07-23T16:40:07+08:00,0, 5773, 97, 85, 279.30
2026-07-23T16:40:08+08:00,0, 6023, 96, 84, 274.99
2026-07-23T16:40:09+08:00,0, 4828, 67, 83, 228.73
2026-07-23T16:40:10+08:00,0, 4848, 64, 83, 248.11
2026-07-23T16:40:11+08:00,0, 4848, 70, 82, 241.41
2026-07-23T16:40:12+08:00,0, 4848, 69, 82, 241.71
2026-07-23T16:40:13+08:00,0, 4848, 64, 83, 252.85
2026-07-23T16:40:14+08:00,0, 4846, 68, 83, 258.43
2026-07-23T16:40:15+08:00,0, 4846, 65, 81, 240.29
2026-07-23T16:40:16+08:00,0, 4846, 69, 81, 240.14
2026-07-23T16:40:17+08:00,0, 4846, 68, 83, 250.35
2026-07-23T16:40:18+08:00,0, 4846, 65, 83, 256.82
2026-07-23T16:40:19+08:00,0, 4846, 70, 80, 251.93
2026-07-23T16:40:20+08:00,0, 4924, 0, 76, 209.81
2026-07-23T16:40:21+08:00,0, 4924, 65, 80, 234.26
2026-07-23T16:40:22+08:00,0, 4924, 69, 79, 250.23
2026-07-23T16:40:23+08:00,0, 4924, 65, 80, 249.66
2026-07-23T16:40:24+08:00,0, 4924, 65, 79, 250.75
2026-07-23T16:40:25+08:00,0, 4924, 69, 79, 250.67
2026-07-23T16:40:26+08:00,0, 4922, 66, 80, 251.64
2026-07-23T16:40:27+08:00,0, 4922, 66, 78, 250.06
2026-07-23T16:40:28+08:00,0, 4922, 69, 80, 248.81
2026-07-23T16:40:29+08:00,0, 4922, 66, 78, 249.68
2026-07-23T16:40:30+08:00,0, 4922, 66, 79, 249.84
2026-07-23T16:40:32+08:00,0, 4922, 70, 78, 249.59
2026-07-23T16:40:33+08:00,0, 4922, 67, 77, 248.44
2026-07-23T16:40:34+08:00,0, 4922, 66, 78, 249.66
2026-07-23T16:40:35+08:00,0, 4922, 70, 77, 249.43
2026-07-23T16:40:36+08:00,0, 4922, 67, 78, 246.32
2026-07-23T16:40:37+08:00,0, 4922, 66, 76, 248.13
2026-07-23T16:40:38+08:00,0, 4922, 70, 77, 247.63
2026-07-23T16:40:39+08:00,0, 4922, 67, 75, 247.14
2026-07-23T16:40:40+08:00,0, 4924, 64, 75, 241.18
2026-07-23T16:40:41+08:00,0, 4924, 65, 74, 242.95
2026-07-23T16:40:42+08:00,0, 4924, 65, 73, 244.57
2026-07-23T16:40:43+08:00,0, 4924, 69, 73, 250.32
2026-07-23T16:40:44+08:00,0, 4924, 72, 73, 243.32
2026-07-23T16:40:45+08:00,0, 4922, 67, 73, 245.31
2026-07-23T16:40:46+08:00,0, 4922, 65, 73, 248.58
2026-07-23T16:40:47+08:00,0, 4922, 65, 72, 247.31
2026-07-23T16:40:48+08:00,0, 4922, 66, 72, 243.36
2026-07-23T16:40:49+08:00,0, 4922, 72, 72, 242.36
2026-07-23T16:40:50+08:00,0, 4922, 71, 71, 243.75
2026-07-23T16:40:51+08:00,0, 4922, 65, 70, 241.38
2026-07-23T16:40:52+08:00,0, 4922, 65, 69, 240.21
2026-07-23T16:40:53+08:00,0, 4922, 66, 69, 242.03
2026-07-23T16:40:54+08:00,0, 4922, 72, 69, 244.82
2026-07-23T16:40:55+08:00,0, 4922, 72, 68, 241.48
2026-07-23T16:40:56+08:00,0, 4922, 65, 69, 242.13
2026-07-23T16:40:57+08:00,0, 4922, 65, 69, 243.26
2026-07-23T16:40:58+08:00,0, 4922, 65, 68, 239.23
2026-07-23T16:40:59+08:00,0, 2676, 0, 61, 171.24
2026-07-23T16:41:00+08:00,0, 2277, 20, 60, 147.59
2026-07-23T16:41:01+08:00,0, 2335, 5, 58, 138.72
2026-07-23T16:41:02+08:00,0, 2335, 26, 57, 133.85
2026-07-23T16:41:03+08:00,0, 2335, 27, 57, 133.23
2026-07-23T16:41:04+08:00,0, 2334, 27, 56, 132.44
2026-07-23T16:41:05+08:00,0, 2333, 27, 56, 133.83
2026-07-23T16:41:06+08:00,0, 2333, 27, 56, 133.83
2026-07-23T16:41:07+08:00,0, 2483, 27, 56, 133.70
2026-07-23T16:41:08+08:00,0, 2483, 27, 56, 132.98
2026-07-23T16:41:09+08:00,0, 2483, 27, 57, 133.22
2026-07-23T16:41:10+08:00,0, 2483, 27, 57, 131.44
2026-07-23T16:41:11+08:00,0, 2333, 27, 57, 131.35
2026-07-23T16:41:12+08:00,0, 2333, 27, 57, 131.52
2026-07-23T16:41:13+08:00,0, 2333, 27, 56, 137.46
2026-07-23T16:41:14+08:00,0, 2333, 27, 56, 137.28
2026-07-23T16:41:15+08:00,0, 2333, 27, 56, 137.01
2026-07-23T16:41:16+08:00,0, 2333, 28, 56, 137.22
2026-07-23T16:41:17+08:00,0, 2333, 27, 55, 136.94
2026-07-23T16:41:18+08:00,0, 2192, 14, 55, 125.01
2026-07-23T16:41:19+08:00,0, 2192, 4, 54, 106.44
2026-07-23T16:41:20+08:00,0, 2192, 4, 54, 106.14
2026-07-23T16:41:21+08:00,0, 2192, 3, 54, 106.12
2026-07-23T16:41:22+08:00,0, 2192, 4, 53, 106.05
2026-07-23T16:41:23+08:00,0, 2190, 4, 53, 106.00
2026-07-23T16:41:24+08:00,0, 2190, 4, 53, 106.01
2026-07-23T16:41:25+08:00,0, 2224, 1, 53, 105.70
2026-07-23T16:41:26+08:00,0, 2250, 3, 53, 105.66
2026-07-23T16:41:27+08:00,0, 2252, 3, 53, 105.40
2026-07-23T16:41:28+08:00,0, 2254, 0, 53, 104.48
2026-07-23T16:41:29+08:00,0, 2258, 0, 53, 104.45
2026-07-23T16:41:30+08:00,0, 2262, 1, 53, 104.51
2026-07-23T16:41:32+08:00,0, 2264, 0, 53, 104.40
2026-07-23T16:41:33+08:00,0, 2268, 1, 53, 104.38
2026-07-23T16:41:34+08:00,0, 2272, 3, 53, 104.44
2026-07-23T16:41:35+08:00,0, 2274, 0, 52, 104.33
2026-07-23T16:41:36+08:00,0, 2278, 0, 53, 104.17
2026-07-23T16:41:37+08:00,0, 2280, 2, 52, 104.35
2026-07-23T16:41:38+08:00,0, 2282, 1, 52, 104.10
2026-07-23T16:41:39+08:00,0, 2286, 1, 52, 104.14
2026-07-23T16:41:40+08:00,0, 2290, 3, 52, 104.04
2026-07-23T16:41:41+08:00,0, 2292, 3, 52, 103.95
2026-07-23T16:41:42+08:00,0, 2296, 3, 52, 103.93
2026-07-23T16:41:43+08:00,0, 2300, 3, 52, 103.96
2026-07-23T16:41:44+08:00,0, 2302, 0, 52, 103.64
