camera_uid,kf_id,init,protected_init,candidate_count,admitted_count,dropped_count,gaussian_before,gaussian_after_extend,fixed_budget,selection,selected_indices_count,reason,admission_cpu_ms,cuda_allocated_mib,cuda_reserved_mib
0,0,True,True,7055,7055,0,0,7055,700,deterministic_uniform,0,init_protected,0.255841,24.905,62.0
1,1,False,False,769,700,69,7055,7755,700,deterministic_uniform,700,fixed_budget_applied,5.809067,24.666,62.0
2,2,False,False,821,700,121,7755,8455,700,deterministic_uniform,700,fixed_budget_applied,0.29789,24.724,62.0
3,3,False,False,890,700,190,8455,9155,700,deterministic_uniform,700,fixed_budget_applied,0.403609,24.777,62.0
4,4,False,False,925,700,225,9155,9855,700,deterministic_uniform,700,fixed_budget_applied,0.248647,24.831,62.0
5,5,False,False,939,700,239,9855,10555,700,deterministic_uniform,700,fixed_budget_applied,0.263215,24.889,62.0
6,6,False,False,918,700,218,10555,11255,700,deterministic_uniform,700,fixed_budget_applied,0.266401,24.938,62.0
7,7,False,False,857,700,157,11255,11955,700,deterministic_uniform,700,fixed_budget_applied,0.26633,24.991,62.0
8,8,False,False,880,700,180,11955,12655,700,deterministic_uniform,700,fixed_budget_applied,0.256973,25.043,62.0
9,9,False,False,874,700,174,12655,13355,700,deterministic_uniform,700,fixed_budget_applied,0.400743,25.099,62.0
10,10,False,False,925,700,225,9498,10198,700,deterministic_uniform,700,fixed_budget_applied,0.367912,35.478,466.0
11,11,False,False,902,700,202,10198,10898,700,deterministic_uniform,700,fixed_budget_applied,0.313709,35.606,466.0
12,12,False,False,896,700,196,10898,11598,700,deterministic_uniform,700,fixed_budget_applied,0.338636,35.729,466.0
13,13,False,False,893,700,193,11598,12298,700,deterministic_uniform,700,fixed_budget_applied,0.31926,35.862,466.0
14,14,False,False,959,700,259,12298,12998,700,deterministic_uniform,700,fixed_budget_applied,0.293432,35.991,466.0
15,15,False,False,994,700,294,12998,13698,700,deterministic_uniform,700,fixed_budget_applied,0.289925,36.126,466.0
16,16,False,False,877,700,177,16294,16994,700,deterministic_uniform,700,fixed_budget_applied,0.35102,54.17,730.0
17,17,False,False,768,700,68,16994,17694,700,deterministic_uniform,700,fixed_budget_applied,0.285717,54.291,730.0
18,18,False,False,772,700,72,17694,18394,700,deterministic_uniform,700,fixed_budget_applied,0.279746,54.422,730.0
19,19,False,False,803,700,103,18394,19094,700,deterministic_uniform,700,fixed_budget_applied,0.270939,54.551,730.0
20,20,False,False,824,700,124,19094,19794,700,deterministic_uniform,700,fixed_budget_applied,0.269276,54.677,730.0
21,21,False,False,755,700,55,19794,20494,700,deterministic_uniform,700,fixed_budget_applied,0.270748,54.806,730.0
22,22,False,False,615,615,0,20494,21109,700,deterministic_uniform,0,within_budget,0.20765,54.862,730.0
23,23,False,False,797,700,97,21109,21809,700,deterministic_uniform,700,fixed_budget_applied,0.280036,55.049,730.0
24,24,False,False,789,700,89,21809,22509,700,deterministic_uniform,700,fixed_budget_applied,0.269897,55.173,730.0
25,25,False,False,774,700,74,22509,23209,700,deterministic_uniform,700,fixed_budget_applied,0.266179,55.302,730.0
26,26,False,False,914,700,214,23209,23909,700,deterministic_uniform,700,fixed_budget_applied,0.26632,55.438,730.0
27,27,False,False,917,700,217,23880,24580,700,deterministic_uniform,700,fixed_budget_applied,0.38861,77.779,1312.0
28,28,False,False,880,700,180,24580,25280,700,deterministic_uniform,700,fixed_budget_applied,0.337975,77.9,1312.0
29,29,False,False,827,700,127,25280,25980,700,deterministic_uniform,700,fixed_budget_applied,0.283263,78.022,1312.0
30,30,False,False,904,700,204,25980,26680,700,deterministic_uniform,700,fixed_budget_applied,0.347132,78.16,1312.0
31,31,False,False,954,700,254,26680,27380,700,deterministic_uniform,700,fixed_budget_applied,0.326914,78.287,1312.0
32,32,False,False,1019,700,319,27380,28080,700,deterministic_uniform,700,fixed_budget_applied,0.330361,78.422,1312.0
33,33,False,False,1024,700,324,28080,28780,700,deterministic_uniform,700,fixed_budget_applied,0.283763,78.547,1312.0
34,34,False,False,949,700,249,28780,29480,700,deterministic_uniform,700,fixed_budget_applied,0.246592,78.673,1312.0
35,35,False,False,884,700,184,29480,30180,700,deterministic_uniform,700,fixed_budget_applied,0.245942,78.798,1312.0
36,36,False,False,873,700,173,30180,30880,700,deterministic_uniform,700,fixed_budget_applied,0.260279,78.925,1312.0
37,37,False,False,929,700,229,30880,31580,700,deterministic_uniform,700,fixed_budget_applied,0.268935,79.057,1312.0
38,38,False,False,941,700,241,31580,32280,700,deterministic_uniform,700,fixed_budget_applied,0.269737,79.188,1312.0
39,39,False,False,916,700,216,32280,32980,700,deterministic_uniform,700,fixed_budget_applied,0.264738,79.31,1312.0
40,40,False,False,821,700,121,32980,33680,700,deterministic_uniform,700,fixed_budget_applied,0.280126,79.438,1312.0
41,41,False,False,792,700,92,35958,36658,700,deterministic_uniform,700,fixed_budget_applied,0.315222,103.784,2044.0
42,42,False,False,780,700,80,36658,37358,700,deterministic_uniform,700,fixed_budget_applied,0.274727,103.909,2044.0
43,43,False,False,621,621,0,37358,37979,700,deterministic_uniform,0,within_budget,0.204744,103.971,2044.0
44,44,False,False,636,636,0,37979,38615,700,deterministic_uniform,0,within_budget,0.201659,104.088,2044.0
45,45,False,False,722,700,22,38615,39315,700,deterministic_uniform,700,fixed_budget_applied,0.268263,104.266,2044.0
46,46,False,False,879,700,179,39315,40015,700,deterministic_uniform,700,fixed_budget_applied,0.265969,104.399,2044.0
47,47,False,False,840,700,140,40015,40715,700,deterministic_uniform,700,fixed_budget_applied,0.263886,104.531,2044.0
48,48,False,False,840,700,140,40715,41415,700,deterministic_uniform,700,fixed_budget_applied,0.258726,104.655,2044.0
49,49,False,False,836,700,136,41415,42115,700,deterministic_uniform,700,fixed_budget_applied,0.262032,104.789,2044.0
50,50,False,False,945,700,245,42115,42815,700,deterministic_uniform,700,fixed_budget_applied,0.256441,104.918,2044.0
51,51,False,False,932,700,232,42815,43515,700,deterministic_uniform,700,fixed_budget_applied,0.237797,105.041,2044.0
52,52,False,False,814,700,114,43515,44215,700,deterministic_uniform,700,fixed_budget_applied,0.241934,105.169,2044.0
53,53,False,False,696,696,0,44215,44911,700,deterministic_uniform,0,within_budget,0.175279,105.243,2044.0
54,54,False,False,608,608,0,44911,45519,700,deterministic_uniform,0,within_budget,0.176602,105.349,2044.0
55,55,False,False,664,664,0,45519,46183,700,deterministic_uniform,0,within_budget,0.179838,105.475,2044.0
56,56,False,False,774,700,74,44710,45410,700,deterministic_uniform,700,fixed_budget_applied,0.339067,118.087,2458.0
57,57,False,False,724,700,24,45410,46110,700,deterministic_uniform,700,fixed_budget_applied,0.27708,118.21,2458.0
58,58,False,False,802,700,102,46110,46810,700,deterministic_uniform,700,fixed_budget_applied,0.280928,118.344,2458.0
59,59,False,False,896,700,196,46810,47510,700,deterministic_uniform,700,fixed_budget_applied,0.285687,118.477,2458.0
60,60,False,False,893,700,193,47510,48210,700,deterministic_uniform,700,fixed_budget_applied,0.292149,118.602,2458.0
61,61,False,False,949,700,249,48210,48910,700,deterministic_uniform,700,fixed_budget_applied,0.269377,118.739,2458.0
62,62,False,False,978,700,278,48910,49610,700,deterministic_uniform,700,fixed_budget_applied,0.282271,118.864,2458.0
63,63,False,False,928,700,228,49610,50310,700,deterministic_uniform,700,fixed_budget_applied,0.289714,118.995,2458.0
64,64,False,False,906,700,206,53010,53710,700,deterministic_uniform,700,fixed_budget_applied,0.335419,127.549,2458.0
65,65,False,False,946,700,246,53710,54410,700,deterministic_uniform,700,fixed_budget_applied,0.276671,127.685,2458.0
66,66,False,False,834,700,134,54410,55110,700,deterministic_uniform,700,fixed_budget_applied,0.29273,127.803,2458.0
67,67,False,False,655,655,0,55110,55765,700,deterministic_uniform,0,within_budget,0.207289,127.867,2458.0
68,68,False,False,745,700,45,55765,56465,700,deterministic_uniform,700,fixed_budget_applied,0.290826,128.048,2458.0
