admission_cpu_ms,admitted_count,camera_uid,candidate_count,cuda_allocated_mib,cuda_reserved_mib,dropped_count,event,features_device,features_dtype,features_requires_grad,features_shape,fixed_budget,gaussian_after_extend,gaussian_before,init,kf_id,mode,opacities_device,opacities_dtype,opacities_requires_grad,opacities_shape,protected_init,reason,rotations_device,rotations_dtype,rotations_requires_grad,rotations_shape,scales_device,scales_dtype,scales_requires_grad,scales_shape,schema,selected_indices_count,selection,xyz_device,xyz_dtype,xyz_requires_grad,xyz_shape
0.262228,7055,0,7055,26.491,64.0,0,extend,cuda:0,torch.float32,False,"[7055, 3, 1]",600,7055,0,True,0,fixed_budget,cuda:0,torch.float32,False,"[7055, 1]",True,init_protected,cuda:0,torch.float32,False,"[7055, 4]",cuda:0,torch.float32,False,"[7055, 3]",1,0,deterministic_uniform,cuda:0,torch.float32,False,"[7055, 3]"
6.12066,600,1,769,26.238,64.0,169,extend,cuda:0,torch.float32,False,"[600, 3, 1]",600,7655,7055,False,1,fixed_budget,cuda:0,torch.float32,False,"[600, 1]",False,fixed_budget_applied,cuda:0,torch.float32,False,"[600, 4]",cuda:0,torch.float32,False,"[600, 3]",1,600,deterministic_uniform,cuda:0,torch.float32,False,"[600, 3]"
0.286604,600,2,822,26.287,64.0,222,extend,cuda:0,torch.float32,False,"[600, 3, 1]",600,8255,7655,False,2,fixed_budget,cuda:0,torch.float32,False,"[600, 1]",False,fixed_budget_applied,cuda:0,torch.float32,False,"[600, 4]",cuda:0,torch.float32,False,"[600, 3]",1,600,deterministic_uniform,cuda:0,torch.float32,False,"[600, 3]"
0.414442,600,3,890,26.336,64.0,290,extend,cuda:0,torch.float32,False,"[600, 3, 1]",600,8855,8255,False,3,fixed_budget,cuda:0,torch.float32,False,"[600, 1]",False,fixed_budget_applied,cuda:0,torch.float32,False,"[600, 4]",cuda:0,torch.float32,False,"[600, 3]",1,600,deterministic_uniform,cuda:0,torch.float32,False,"[600, 3]"
0.284932,600,4,924,26.382,64.0,324,extend,cuda:0,torch.float32,False,"[600, 3, 1]",600,9455,8855,False,4,fixed_budget,cuda:0,torch.float32,False,"[600, 1]",False,fixed_budget_applied,cuda:0,torch.float32,False,"[600, 4]",cuda:0,torch.float32,False,"[600, 3]",1,600,deterministic_uniform,cuda:0,torch.float32,False,"[600, 3]"
0.260947,600,5,937,26.429,64.0,337,extend,cuda:0,torch.float32,False,"[600, 3, 1]",600,10055,9455,False,5,fixed_budget,cuda:0,torch.float32,False,"[600, 1]",False,fixed_budget_applied,cuda:0,torch.float32,False,"[600, 4]",cuda:0,torch.float32,False,"[600, 3]",1,600,deterministic_uniform,cuda:0,torch.float32,False,"[600, 3]"
0.261657,600,6,919,26.475,64.0,319,extend,cuda:0,torch.float32,False,"[600, 3, 1]",600,10655,10055,False,6,fixed_budget,cuda:0,torch.float32,False,"[600, 1]",False,fixed_budget_applied,cuda:0,torch.float32,False,"[600, 4]",cuda:0,torch.float32,False,"[600, 3]",1,600,deterministic_uniform,cuda:0,torch.float32,False,"[600, 3]"
0.258662,600,7,856,26.516,64.0,256,extend,cuda:0,torch.float32,False,"[600, 3, 1]",600,11255,10655,False,7,fixed_budget,cuda:0,torch.float32,False,"[600, 1]",False,fixed_budget_applied,cuda:0,torch.float32,False,"[600, 4]",cuda:0,torch.float32,False,"[600, 3]",1,600,deterministic_uniform,cuda:0,torch.float32,False,"[600, 3]"
0.296422,600,8,879,26.563,64.0,279,extend,cuda:0,torch.float32,False,"[600, 3, 1]",600,11855,11255,False,8,fixed_budget,cuda:0,torch.float32,False,"[600, 1]",False,fixed_budget_applied,cuda:0,torch.float32,False,"[600, 4]",cuda:0,torch.float32,False,"[600, 3]",1,600,deterministic_uniform,cuda:0,torch.float32,False,"[600, 3]"
0.393843,600,9,873,26.61,64.0,273,extend,cuda:0,torch.float32,False,"[600, 3, 1]",600,12455,11855,False,9,fixed_budget,cuda:0,torch.float32,False,"[600, 1]",False,fixed_budget_applied,cuda:0,torch.float32,False,"[600, 4]",cuda:0,torch.float32,False,"[600, 3]",1,600,deterministic_uniform,cuda:0,torch.float32,False,"[600, 3]"
0.265204,600,10,919,26.655,64.0,319,extend,cuda:0,torch.float32,False,"[600, 3, 1]",600,13055,12455,False,10,fixed_budget,cuda:0,torch.float32,False,"[600, 1]",False,fixed_budget_applied,cuda:0,torch.float32,False,"[600, 4]",cuda:0,torch.float32,False,"[600, 3]",1,600,deterministic_uniform,cuda:0,torch.float32,False,"[600, 3]"
0.360272,600,11,903,36.154,518.0,303,extend,cuda:0,torch.float32,False,"[600, 3, 1]",600,13940,13340,False,11,fixed_budget,cuda:0,torch.float32,False,"[600, 1]",False,fixed_budget_applied,cuda:0,torch.float32,False,"[600, 4]",cuda:0,torch.float32,False,"[600, 3]",1,600,deterministic_uniform,cuda:0,torch.float32,False,"[600, 3]"
0.327489,600,12,896,36.263,518.0,296,extend,cuda:0,torch.float32,False,"[600, 3, 1]",600,14540,13940,False,12,fixed_budget,cuda:0,torch.float32,False,"[600, 1]",False,fixed_budget_applied,cuda:0,torch.float32,False,"[600, 4]",cuda:0,torch.float32,False,"[600, 3]",1,600,deterministic_uniform,cuda:0,torch.float32,False,"[600, 3]"
0.343029,600,13,893,36.375,518.0,293,extend,cuda:0,torch.float32,False,"[600, 3, 1]",600,15140,14540,False,13,fixed_budget,cuda:0,torch.float32,False,"[600, 1]",False,fixed_budget_applied,cuda:0,torch.float32,False,"[600, 4]",cuda:0,torch.float32,False,"[600, 3]",1,600,deterministic_uniform,cuda:0,torch.float32,False,"[600, 3]"
