timestamp,index,memory_used_mib,gpu_util_percent,temperature_c,power_w
2026-07-24T14:16:11+08:00,0, 379, 1, 45, 24.11
2026-07-24T14:16:12+08:00,0, 380, 5, 45, 24.54
2026-07-24T14:16:13+08:00,0, 386, 20, 46, 26.53
2026-07-24T14:16:14+08:00,0, 386, 2, 45, 26.28
2026-07-24T14:16:15+08:00,0, 1802, 5, 50, 80.88
2026-07-24T14:16:16+08:00,0, 1802, 4, 50, 109.61
2026-07-24T14:16:17+08:00,0, 2059, 0, 50, 105.08
2026-07-24T14:16:18+08:00,0, 1799, 9, 51, 107.12
2026-07-24T14:16:19+08:00,0, 1799, 0, 51, 107.40
2026-07-24T14:16:20+08:00,0, 2054, 1, 50, 105.28
2026-07-24T14:16:21+08:00,0, 2054, 1, 51, 105.31
2026-07-24T14:16:22+08:00,0, 2054, 0, 51, 105.32
2026-07-24T14:16:23+08:00,0, 2311, 1, 50, 105.49
2026-07-24T14:16:24+08:00,0, 2311, 0, 50, 105.39
2026-07-24T14:16:25+08:00,0, 2311, 0, 50, 105.40
2026-07-24T14:16:26+08:00,0, 2568, 0, 50, 105.90
2026-07-24T14:16:27+08:00,0, 2311, 1, 50, 108.34
2026-07-24T14:16:28+08:00,0, 2568, 0, 50, 105.24
2026-07-24T14:16:29+08:00,0, 2311, 8, 50, 107.21
2026-07-24T14:16:30+08:00,0, 2311, 0, 50, 106.81
2026-07-24T14:16:31+08:00,0, 2568, 2, 50, 105.20
2026-07-24T14:16:32+08:00,0, 2568, 0, 50, 105.15
2026-07-24T14:16:33+08:00,0, 2568, 0, 50, 105.11
2026-07-24T14:16:34+08:00,0, 2956, 21, 50, 109.64
2026-07-24T14:16:35+08:00,0, 3502, 41, 53, 176.58
2026-07-24T14:16:36+08:00,0, 4494, 30, 57, 205.55
2026-07-24T14:16:37+08:00,0, 3708, 28, 58, 199.00
2026-07-24T14:16:38+08:00,0, 4636, 33, 54, 200.25
2026-07-24T14:16:39+08:00,0, 4470, 65, 57, 188.28
2026-07-24T14:16:40+08:00,0, 4342, 88, 57, 213.18
2026-07-24T14:16:41+08:00,0, 4700, 82, 58, 225.74
2026-07-24T14:16:42+08:00,0, 4378, 96, 57, 227.29
2026-07-24T14:16:43+08:00,0, 4372, 46, 56, 198.25
2026-07-24T14:16:44+08:00,0, 4372, 49, 56, 190.70
2026-07-24T14:16:45+08:00,0, 4378, 42, 55, 193.59
2026-07-24T14:16:46+08:00,0, 4916, 89, 59, 216.31
2026-07-24T14:16:47+08:00,0, 4630, 95, 58, 230.64
2026-07-24T14:16:49+08:00,0, 5858, 83, 58, 222.06
2026-07-24T14:16:50+08:00,0, 5550, 99, 60, 262.67
2026-07-24T14:16:51+08:00,0, 4632, 99, 58, 237.01
2026-07-24T14:16:52+08:00,0, 5718, 97, 61, 242.77
2026-07-24T14:16:53+08:00,0, 4916, 82, 60, 271.68
2026-07-24T14:16:54+08:00,0, 4642, 99, 59, 218.97
2026-07-24T14:16:55+08:00,0, 4910, 63, 59, 222.43
2026-07-24T14:16:56+08:00,0, 5930, 97, 62, 222.47
2026-07-24T14:16:57+08:00,0, 5590, 77, 63, 264.00
2026-07-24T14:16:58+08:00,0, 4818, 49, 61, 221.38
2026-07-24T14:16:59+08:00,0, 5714, 72, 60, 216.24
2026-07-24T14:17:00+08:00,0, 5676, 76, 61, 237.82
2026-07-24T14:17:01+08:00,0, 5748, 64, 61, 233.77
2026-07-24T14:17:02+08:00,0, 6760, 98, 62, 242.92
2026-07-24T14:17:03+08:00,0, 6794, 94, 64, 282.22
2026-07-24T14:17:04+08:00,0, 5732, 89, 62, 276.81
2026-07-24T14:17:05+08:00,0, 5770, 78, 62, 235.07
2026-07-24T14:17:06+08:00,0, 5018, 90, 61, 234.58
2026-07-24T14:17:07+08:00,0, 5180, 94, 61, 237.70
2026-07-24T14:17:08+08:00,0, 7178, 96, 65, 279.03
2026-07-24T14:17:09+08:00,0, 6134, 82, 63, 274.05
2026-07-24T14:17:10+08:00,0, 5694, 62, 62, 259.88
2026-07-24T14:17:11+08:00,0, 5702, 59, 62, 209.97
2026-07-24T14:17:12+08:00,0, 5718, 63, 62, 208.92
2026-07-24T14:17:13+08:00,0, 5718, 62, 61, 209.65
2026-07-24T14:17:14+08:00,0, 5718, 62, 61, 209.93
2026-07-24T14:17:15+08:00,0, 5718, 64, 61, 210.84
2026-07-24T14:17:16+08:00,0, 6224, 58, 61, 208.40
2026-07-24T14:17:17+08:00,0, 6906, 66, 63, 223.32
2026-07-24T14:17:18+08:00,0, 6798, 76, 63, 240.38
2026-07-24T14:17:19+08:00,0, 6812, 92, 64, 264.84
2026-07-24T14:17:20+08:00,0, 8476, 100, 67, 284.10
2026-07-24T14:17:21+08:00,0, 6316, 82, 64, 279.85
2026-07-24T14:17:22+08:00,0, 6404, 75, 64, 240.29
2026-07-24T14:17:23+08:00,0, 6058, 99, 64, 241.46
2026-07-24T14:17:24+08:00,0, 6226, 69, 64, 235.08
2026-07-24T14:17:25+08:00,0, 8826, 98, 67, 281.07
2026-07-24T14:17:26+08:00,0, 6692, 100, 66, 292.54
2026-07-24T14:17:27+08:00,0, 7906, 87, 68, 288.05
2026-07-24T14:17:28+08:00,0, 5746, 95, 66, 277.81
2026-07-24T14:17:29+08:00,0, 5744, 94, 66, 236.39
2026-07-24T14:17:30+08:00,0, 5766, 58, 64, 229.82
2026-07-24T14:17:31+08:00,0, 7584, 92, 68, 282.72
2026-07-24T14:17:32+08:00,0, 8086, 100, 70, 306.11
2026-07-24T14:17:33+08:00,0, 6292, 95, 68, 298.65
2026-07-24T14:17:34+08:00,0, 5744, 58, 65, 216.77
2026-07-24T14:17:35+08:00,0, 5744, 59, 65, 218.46
2026-07-24T14:17:36+08:00,0, 5744, 59, 65, 217.86
2026-07-24T14:17:37+08:00,0, 5744, 59, 64, 219.45
2026-07-24T14:17:38+08:00,0, 5744, 64, 64, 218.47
2026-07-24T14:17:39+08:00,0, 5744, 59, 66, 220.72
2026-07-24T14:17:40+08:00,0, 5744, 65, 64, 218.49
2026-07-24T14:17:41+08:00,0, 5744, 59, 64, 218.68
2026-07-24T14:17:42+08:00,0, 5744, 58, 65, 218.75
2026-07-24T14:17:43+08:00,0, 5744, 60, 64, 219.25
2026-07-24T14:17:44+08:00,0, 6394, 16, 64, 214.19
2026-07-24T14:17:45+08:00,0, 6760, 96, 66, 231.77
2026-07-24T14:17:46+08:00,0, 6218, 96, 66, 247.76
2026-07-24T14:17:47+08:00,0, 6310, 91, 65, 250.33
2026-07-24T14:17:48+08:00,0, 8544, 98, 69, 253.16
2026-07-24T14:17:49+08:00,0, 8946, 98, 69, 297.68
2026-07-24T14:17:50+08:00,0, 8444, 95, 70, 292.59
2026-07-24T14:17:51+08:00,0, 8900, 98, 71, 296.47
2026-07-24T14:17:53+08:00,0, 6350, 85, 68, 286.01
2026-07-24T14:17:54+08:00,0, 6272, 94, 68, 244.61
2026-07-24T14:17:55+08:00,0, 5974, 68, 68, 240.51
2026-07-24T14:17:56+08:00,0, 7731, 98, 71, 258.78
2026-07-24T14:17:57+08:00,0, 7731, 100, 73, 307.92
2026-07-24T14:17:58+08:00,0, 7897, 100, 74, 308.97
2026-07-24T14:17:59+08:00,0, 5919, 100, 74, 309.99
2026-07-24T14:18:00+08:00,0, 6271, 97, 72, 243.54
2026-07-24T14:18:01+08:00,0, 6281, 77, 73, 297.38
2026-07-24T14:18:02+08:00,0, 7075, 88, 76, 302.12
2026-07-24T14:18:03+08:00,0, 7343, 91, 76, 306.73
2026-07-24T14:18:04+08:00,0, 7719, 100, 78, 311.60
2026-07-24T14:18:05+08:00,0, 7711, 100, 79, 312.40
2026-07-24T14:18:06+08:00,0, 7191, 96, 79, 276.50
2026-07-24T14:18:07+08:00,0, 7195, 76, 80, 303.52
2026-07-24T14:18:08+08:00,0, 7075, 81, 82, 301.07
2026-07-24T14:18:09+08:00,0, 7059, 100, 82, 309.21
2026-07-24T14:18:10+08:00,0, 7719, 100, 84, 302.95
2026-07-24T14:18:11+08:00,0, 7711, 100, 84, 288.61
2026-07-24T14:18:12+08:00,0, 5081, 62, 83, 263.61
2026-07-24T14:18:13+08:00,0, 4760, 65, 82, 246.85
2026-07-24T14:18:14+08:00,0, 4760, 65, 81, 246.52
2026-07-24T14:18:15+08:00,0, 4760, 63, 80, 244.35
2026-07-24T14:18:16+08:00,0, 4760, 65, 80, 233.85
2026-07-24T14:18:17+08:00,0, 4760, 62, 80, 246.03
2026-07-24T14:18:18+08:00,0, 4760, 65, 81, 248.57
2026-07-24T14:18:19+08:00,0, 4760, 65, 81, 250.77
2026-07-24T14:18:20+08:00,0, 4760, 65, 82, 247.69
2026-07-24T14:18:21+08:00,0, 4760, 63, 80, 249.91
2026-07-24T14:18:22+08:00,0, 4760, 66, 80, 247.58
2026-07-24T14:18:23+08:00,0, 4760, 60, 79, 245.99
2026-07-24T14:18:24+08:00,0, 4836, 64, 78, 193.93
2026-07-24T14:18:25+08:00,0, 4836, 64, 78, 240.60
2026-07-24T14:18:26+08:00,0, 4836, 68, 79, 241.90
2026-07-24T14:18:27+08:00,0, 4836, 64, 77, 242.01
2026-07-24T14:18:28+08:00,0, 4836, 69, 77, 239.99
2026-07-24T14:18:29+08:00,0, 4836, 64, 78, 241.27
2026-07-24T14:18:30+08:00,0, 4836, 68, 77, 240.27
2026-07-24T14:18:31+08:00,0, 4836, 64, 76, 239.88
2026-07-24T14:18:32+08:00,0, 4836, 64, 77, 239.34
2026-07-24T14:18:33+08:00,0, 4836, 66, 76, 240.74
2026-07-24T14:18:34+08:00,0, 4836, 63, 76, 239.86
2026-07-24T14:18:35+08:00,0, 4836, 64, 76, 238.96
2026-07-24T14:18:36+08:00,0, 4836, 64, 75, 239.61
2026-07-24T14:18:37+08:00,0, 4836, 66, 76, 239.83
2026-07-24T14:18:38+08:00,0, 4836, 64, 74, 239.73
2026-07-24T14:18:39+08:00,0, 4836, 69, 75, 238.28
2026-07-24T14:18:40+08:00,0, 4836, 64, 75, 238.81
2026-07-24T14:18:41+08:00,0, 4836, 69, 73, 237.33
2026-07-24T14:18:42+08:00,0, 4836, 63, 73, 235.64
2026-07-24T14:18:43+08:00,0, 4836, 63, 73, 237.95
2026-07-24T14:18:44+08:00,0, 4836, 63, 72, 232.89
2026-07-24T14:18:45+08:00,0, 4836, 62, 72, 231.79
2026-07-24T14:18:46+08:00,0, 4836, 62, 71, 232.19
2026-07-24T14:18:47+08:00,0, 4836, 62, 71, 233.08
2026-07-24T14:18:48+08:00,0, 4836, 63, 71, 233.44
2026-07-24T14:18:49+08:00,0, 4836, 62, 71, 236.30
2026-07-24T14:18:50+08:00,0, 4836, 63, 71, 238.45
2026-07-24T14:18:51+08:00,0, 4836, 62, 71, 238.64
2026-07-24T14:18:52+08:00,0, 4836, 62, 71, 237.68
2026-07-24T14:18:53+08:00,0, 4836, 61, 71, 236.01
2026-07-24T14:18:55+08:00,0, 4836, 63, 71, 235.75
2026-07-24T14:18:56+08:00,0, 4836, 66, 70, 235.57
2026-07-24T14:18:57+08:00,0, 4836, 67, 69, 237.15
2026-07-24T14:18:58+08:00,0, 4836, 62, 69, 237.77
2026-07-24T14:18:59+08:00,0, 4836, 64, 68, 237.11
2026-07-24T14:19:00+08:00,0, 4836, 69, 68, 237.12
2026-07-24T14:19:01+08:00,0, 2590, 1, 63, 195.89
2026-07-24T14:19:02+08:00,0, 3404, 10, 61, 143.15
2026-07-24T14:19:03+08:00,0, 2371, 27, 59, 150.29
2026-07-24T14:19:04+08:00,0, 2370, 14, 59, 134.31
2026-07-24T14:19:05+08:00,0, 2370, 13, 58, 136.87
2026-07-24T14:19:06+08:00,0, 2370, 8, 57, 135.97
2026-07-24T14:19:07+08:00,0, 2368, 9, 57, 136.70
2026-07-24T14:19:08+08:00,0, 2368, 8, 56, 136.52
2026-07-24T14:19:09+08:00,0, 2368, 26, 56, 131.93
2026-07-24T14:19:10+08:00,0, 2368, 27, 56, 131.12
2026-07-24T14:19:11+08:00,0, 2368, 27, 56, 133.28
2026-07-24T14:19:12+08:00,0, 2368, 27, 56, 133.98
2026-07-24T14:19:13+08:00,0, 2368, 27, 55, 133.38
2026-07-24T14:19:14+08:00,0, 2368, 27, 55, 130.88
2026-07-24T14:19:15+08:00,0, 2368, 27, 55, 131.47
2026-07-24T14:19:16+08:00,0, 2368, 27, 55, 131.43
2026-07-24T14:19:17+08:00,0, 2368, 27, 55, 131.33
2026-07-24T14:19:18+08:00,0, 2368, 26, 55, 131.08
2026-07-24T14:19:19+08:00,0, 2368, 23, 55, 131.13
2026-07-24T14:19:20+08:00,0, 2368, 14, 55, 131.23
2026-07-24T14:19:21+08:00,0, 2224, 1, 54, 112.50
2026-07-24T14:19:22+08:00,0, 2225, 4, 54, 106.58
2026-07-24T14:19:23+08:00,0, 2225, 3, 54, 106.62
2026-07-24T14:19:24+08:00,0, 2225, 4, 54, 106.44
2026-07-24T14:19:25+08:00,0, 2225, 4, 54, 106.29
2026-07-24T14:19:26+08:00,0, 2225, 3, 53, 106.12
2026-07-24T14:19:27+08:00,0, 2224, 4, 53, 106.11
2026-07-24T14:19:28+08:00,0, 2277, 2, 53, 106.00
2026-07-24T14:19:29+08:00,0, 2291, 0, 53, 105.45
2026-07-24T14:19:30+08:00,0, 2293, 0, 53, 105.24
2026-07-24T14:19:31+08:00,0, 2295, 2, 53, 105.29
2026-07-24T14:19:32+08:00,0, 2299, 1, 53, 105.35
2026-07-24T14:19:33+08:00,0, 2302, 0, 53, 105.28
2026-07-24T14:19:34+08:00,0, 2304, 1, 53, 105.24
2026-07-24T14:19:35+08:00,0, 2306, 3, 53, 105.12
2026-07-24T14:19:36+08:00,0, 2308, 0, 53, 104.93
2026-07-24T14:19:37+08:00,0, 2310, 0, 53, 105.06
2026-07-24T14:19:38+08:00,0, 2314, 0, 52, 105.19
2026-07-24T14:19:39+08:00,0, 2318, 3, 52, 105.03
2026-07-24T14:19:40+08:00,0, 2322, 3, 52, 105.06
2026-07-24T14:19:41+08:00,0, 2326, 0, 52, 104.79
2026-07-24T14:19:42+08:00,0, 2328, 0, 52, 105.13
2026-07-24T14:19:43+08:00,0, 2330, 1, 52, 105.00
